,Field_Id,Area,Subregion,Crop_Id_Ne,geometry
0,1,0.915905,3,8,"POLYGON ((2467881.175041331 -3352032.059296422, 2468026.166997987 -3352002.161322046, 2468030.929507507 -3352046.346824005, 2467906.045924405 -3352113.021952709, 2467881.175041331 -3352032.059296422))"
1,2,2.06441,3,6,"POLYGON ((2468428.90623293 -3351993.17305059, 2468346.034265266 -3351825.283344729, 2468446.855339359 -3351787.583819645, 2468535.998806231 -3351949.715198724, 2468428.90623293 -3351993.17305059))"
2,3,1.0803,3,8,"POLYGON ((2468333.745293362 -3352058.485056543, 2468336.655715847 -3352076.21217224, 2468309.138994143 -3352118.810166681, 2468301.20147827 -3352178.341525367, 2468275.272259743 -3352185.220704596, 2468225.001325869 -3352180.458195902, 2468219.974232481 -3352173.579016675, 2468213.888803647 -3352082.297600017, 2468333.745293362 -3352058.485056543))"
3,4,1.31619,3,8,"POLYGON ((2468607.857733211 -3352012.337531495, 2468597.538962575 -3352032.710483936, 2468538.272177374 -3352103.883525589, 2468531.128413083 -3352106.264779773, 2468485.884572598 -3352191.460762714, 2468437.730309623 -3352181.935745984, 2468466.569950635 -3352119.758553469, 2468463.924112013 -3352118.435634478, 2468484.297069425 -3352082.187654159, 2468490.647082123 -3352084.568908341, 2468493.822088475 -3352077.689729591, 2468498.055430273 -3352078.74806478, 2468554.940960711 -3351969.474956233, 2468561.290973417 -3351955.981182536, 2468607.857733211 -3352012.337531495))"
4,7,5.52922,3,8,"POLYGON ((2468646.08520868 -3351706.201920062, 2468490.774481393 -3351769.437463205, 2468435.741037991 -3351663.868502066, 2468400.022216558 -3351585.022511043, 2468381.236762319 -3351591.637107603, 2468371.976327132 -3351577.349579033, 2468367.213817608 -3351546.393267117, 2468618.568486985 -3351443.20556074, 2468646.08520868 -3351706.201920062))"
5,8,1.48271,3,8,"POLYGON ((2468639.338320192 -3351439.435240704, 2468677.967564114 -3351425.676879849, 2468689.08008634 -3351538.125021416, 2468699.928024706 -3351617.764764025, 2468707.865540579 -3351698.992009811, 2468711.834298514 -3351807.735977303, 2468677.967564114 -3351805.883890263, 2468639.338320192 -3351439.435240704))"
6,9,4.62284,3,8,"POLYGON ((2468188.090542704 -3351625.503842007, 2468353.984624486 -3351556.182870038, 2468383.353433229 -3351622.328835659, 2468394.465955455 -3351621.535084069, 2468467.4911015 -3351759.118692569, 2468258.73443399 -3351841.404273812, 2468188.090542704 -3351625.503842007))"
7,11,1.01882,3,8,"POLYGON ((2468667.807543815 -3351415.080296187, 2468634.787477777 -3351423.970313964, 2468593.19489459 -3351265.854997734, 2468568.112344426 -3351165.524797076, 2468604.624917452 -3351146.157258341, 2468667.807543815 -3351415.080296187))"
8,12,1.79607,3,8,"POLYGON ((2468597.243027687 -3351132.121084431, 2468555.967945136 -3351161.013642216, 2468488.975311152 -3351074.335968861, 2468380.707594614 -3350902.885625964, 2468419.442672088 -3350874.945570079, 2468519.455372117 -3351002.263324717, 2468549.617932442 -3351051.475923141, 2468597.243027687 -3351132.121084431))"
9,13,1.7569,3,8,"POLYGON ((2468350.756701387 -3350906.470737297, 2468419.336838547 -3350990.925906211, 2468247.886495646 -3351062.998550355, 2468216.136432141 -3350958.540841442, 2468350.756701387 -3350906.470737297))"
10,14,1.19272,3,7,"POLYGON ((2466406.382812649 -3348790.646505672, 2466493.377986636 -3348740.481405343, 2466579.420658726 -3348889.389203158, 2466539.098078076 -3348910.6617457, 2466486.075472035 -3348854.146632671, 2466416.225332335 -3348799.219022816, 2466406.382812649 -3348790.646505672))"
11,15,0.344734,3,9,"POLYGON ((2466483.573007329 -3348704.874150624, 2466496.790940898 -3348731.574900741, 2466494.012987904 -3348735.083894542, 2466406.382812654 -3348790.64650567, 2466386.922151598 -3348766.322518419, 2466483.573007329 -3348704.874150624))"
12,16,1.81556,3,9,"POLYGON ((2468428.90623293 -3351993.17305059, 2468403.691052651 -3352007.09951666, 2468347.636390934 -3352036.557234242, 2468262.175803337 -3351871.456904048, 2468262.175803337 -3351856.640207749, 2468346.034265266 -3351825.283344731, 2468428.90623293 -3351993.17305059))"
13,17,1.59031,3,1,"POLYGON ((2468208.209326663 -3352569.11778199, 2468280.124351871 -3352600.74841342, 2468257.477078742 -3352621.534298951, 2468251.11994944 -3352645.483295341, 2468185.562053515 -3352782.400105416, 2468174.437077248 -3352784.207597727, 2468143.843392487 -3352768.843921106, 2468136.294301436 -3352759.354600514, 2468177.615641908 -3352569.569647608, 2468205.030762002 -3352573.636438899, 2468208.209326663 -3352569.11778199))"
14,19,2.58801,3,8,"POLYGON ((2437196.980120586 -3334943.347727751, 2437333.393520155 -3334949.364435408, 2437327.764811938 -3335131.371156178, 2437278.430839757 -3335138.892149786, 2437248.962896643 -3335143.028698138, 2437230.421269509 -3335149.79759826, 2437218.832752546 -3335156.566501893, 2437200.62222591 -3335155.81440132, 2437196.980120586 -3334943.347727751))"
