Field_Id,Area,Subregion,y
1,0.915905,3,Vineyard
2,2.06441,3,Pecan
3,1.0803,3,Vineyard
4,1.31619,3,Vineyard
7,5.52922,3,Vineyard
8,1.48271,3,Vineyard
9,4.62284,3,Vineyard
11,1.01882,3,Vineyard
12,1.79607,3,Vineyard
13,1.7569,3,Vineyard
14,1.19272,3,Vacant
15,0.344734,3,"Vineyard & Pecan (""Intercrop"")"
16,1.81556,3,"Vineyard & Pecan (""Intercrop"")"
17,1.59031,3,Cotton
19,2.58801,3,Vineyard
20,2.48277,3,Vineyard
21,0.704917,3,Vineyard
22,3.28571,3,Vineyard
24,2.21751,3,Vineyard
25,0.828373,3,Maize
26,1.20904,3,Grass
27,3.60251,3,Lucern
29,2.83558,3,Grass
30,2.22811,3,"Vineyard & Pecan (""Intercrop"")"
31,0.662677,3,Vineyard
33,4.37185,3,Vineyard
34,3.45035,3,Vineyard
36,3.48715,3,Vineyard
37,2.46684,3,Vineyard
38,1.04563,3,Maize
39,1.97371,3,Maize
40,5.01541,3,Grass
41,3.01826,3,Vacant
42,0.59128,3,Vacant
46,1.19817,3,Vacant
47,1.57893,3,Vacant
49,1.07914,3,Lucern
50,1.78733,3,Lucern
51,0.307578,3,Vineyard
52,1.63154,3,Grass
55,3.06141,3,Vineyard
56,2.40882,3,Vineyard
58,0.266231,3,Vineyard
59,1.5407,3,Vineyard
60,0.442342,3,Vacant
62,1.16673,3,Vacant
64,2.28447,3,Vacant
65,5.82118,3,Cotton
66,1.26915,3,Vineyard
67,1.63835,3,Grass
68,3.41559,3,Grass
71,2.54086,3,Vineyard
73,2.50102,3,Vineyard
74,1.72433,3,Vineyard
75,2.74429,3,Vineyard
76,2.22834,3,Vacant
77,0.947691,3,Vineyard
78,3.73569,3,Maize
81,0.84721,3,Maize
82,0.0859615,3,Vineyard
83,6.14488,3,Maize
84,4.03233,3,Vacant
85,2.4231,3,Vacant
91,4.69615,3,Lucern
93,2.89851,3,Lucern
94,1.11035,3,Lucern
95,5.06143,3,Lucern
96,6.12337,3,Vineyard
97,3.46042,3,Vineyard
98,4.09763,3,Vineyard
102,0.602152,3,Grass
103,0.858839,3,Grass
104,2.22266,3,Lucern
106,1.32961,3,Vacant
107,0.780662,3,Vacant
109,2.5474,3,Vacant
110,2.77178,3,Lucern
