Field_Id,Area,Subregion_3.0,Subregion_1.0,Subregion_4.0,Subregion_2.0,Subregion_5.0,Subregion_6.0,Subregion_0.0,Subregion_7.0,lat,lon,Area_0,Area_1,Area_2,Area_3,Area_4,distance_0,distance_1,distance_2,distance_3,distance_4,Cotton,Dates,Grass,Lucern,Maize,Pecan,Vacant,Vineyard,"Vineyard & Pecan (""Intercrop"")"
1,0.915905,1,0,0,0,0,0,0,0,22.170005277803966,-28.9772189285481,1.0803,0.774865,1.81556,4.62284,2.06441,282.1490951053723,309.7260131712494,357.63413278828364,443.9623606196353,447.6095202202663,0,0,0,0,0,2,0,2,1
2,2.06441,1,0,0,0,0,0,0,0,22.174372321542464,-28.975950451846593,1.81556,1.43812,1.31619,4.62284,1.0803,90.19707684058763,163.24910533251412,180.91023922858014,197.62790680169698,252.60379374789852,0,0,0,1,0,0,0,3,1
3,1.0803,1,0,0,0,0,0,0,0,22.17283387623701,-28.977780584763526,1.81556,1.31619,2.06441,5.82118,0.915905,182.14984043801874,227.42392141575232,252.60379374789852,255.49168286014176,282.1490951053723,1,0,0,0,0,1,0,2,1
4,1.31619,1,0,0,0,0,0,0,0,22.175137867760405,-28.977433185555967,2.06441,1.81556,1.0803,1.43812,5.82118,180.91023922858014,205.42838078907917,227.42392141575232,264.6808536213653,316.6044505986296,1,0,0,1,0,1,0,1,1
7,5.52922,1,0,0,0,0,0,0,0,22.175166435913674,-28.97370760822831,1.48271,1.43812,4.62284,2.06441,1.01882,131.30015050907727,166.44616230316967,200.21275898894658,261.08273648215595,293.41449063190163,0,0,0,1,0,1,0,3,0
8,1.48271,1,0,0,0,0,0,0,0,22.176512430675743,-28.9737955375345,5.52922,1.43812,1.01882,2.06441,4.62284,131.30015050907727,164.24646128304013,297.23697527502645,317.4206230577345,321.7587785297077,0,0,0,1,0,1,0,3,0
9,4.62284,1,0,0,0,0,0,0,0,22.173289599114355,-28.974446573733278,2.06441,5.52922,1.81556,0.774865,2.03598,197.62790680169698,200.21275898894658,202.1178959537753,225.37843684314927,245.85195992490918,0,0,0,0,0,2,0,2,1
11,1.01882,1,0,0,0,0,0,0,0,22.175971611232335,-28.97116462664362,1.79607,5.52922,2.43183,1.48271,2.03598,257.98582943700063,293.41449063190163,294.45688232014896,297.23697527502645,368.4780626662373,0,0,0,0,0,0,0,5,0
12,1.79607,1,0,0,0,0,0,0,0,22.174827028335315,-28.969071725006252,1.7569,1.01882,1.50796,3.17541,1.1812,161.88684236919391,257.98582943700063,267.9201773883735,300.7294311199019,304.1854798930432,0,0,0,0,0,2,0,3,0
13,1.7569,1,0,0,0,0,0,0,0,22.173197303910545,-28.96877737693835,1.1812,1.79607,3.17541,1.50796,2.65521,143.47465766316617,161.88684236919391,167.93887844995905,179.64786315696915,197.9140044151547,0,0,0,0,0,2,0,3,0
14,1.19272,1,0,0,0,0,0,0,0,22.15693367175394,-28.95172011239708,0.344734,1.44488,3.07671,2.24256,3.12746,81.17661917961071,206.77890790505654,256.7527020434652,258.8294730141512,274.90839631609373,0,0,0,0,1,0,0,0,4
15,0.344734,1,0,0,0,0,0,0,0,22.15643881486319,-28.951132358404784,1.19272,2.24256,3.07671,3.12746,1.44488,81.17661917961071,177.98332840031384,178.5352365519561,199.99564324537155,287.9337818866725,0,0,0,0,1,0,1,0,3
16,1.81556,1,0,0,0,0,0,0,0,22.173512362511634,-28.97625378660391,2.06441,1.0803,4.62284,1.31619,1.43812,90.19707684058763,182.14984043801874,202.1178959537753,205.42838078907917,252.00688843922435,0,0,0,1,0,1,0,3,0
17,1.59031,1,0,0,0,0,0,0,0,22.17219012802969,-28.982093265104798,5.82118,1.0803,0.915905,1.31619,1.81556,275.92401734903706,483.6192306453497,582.1793268891238,592.2192867752387,661.9361253893627,1,0,0,0,0,0,0,3,1
19,2.58801,1,0,0,0,0,0,0,0,21.89430444972539,-28.842790528749997,2.48277,0.704917,2.89924,4.37185,3.28571,138.87015840958784,272.907411796953,284.4301769946366,289.7745512025293,290.9476487206843,0,0,0,0,0,0,0,4,1
20,2.48277,1,0,0,0,0,0,0,0,21.89390201612032,-28.841592422035173,0.704917,2.58801,3.28571,3.45035,2.77701,134.61718131180132,138.87015840958784,159.2924906597841,224.94573787099668,269.0150600840908,0,0,0,0,0,1,0,4,0
21,0.704917,1,0,0,0,0,0,0,0,21.893342968968554,-28.840485244060496,3.28571,2.48277,2.77701,3.45035,2.21751,86.25925866841906,134.61718131180132,151.01854717624482,188.6720762413482,244.02030192095307,0,0,0,0,0,1,0,4,0
22,3.28571,1,0,0,0,0,0,0,0,21.894155753065135,-28.840177217623875,0.704917,2.48277,2.21751,0.828373,2.77701,86.25925866841906,159.2924906597841,167.49963313051296,204.32131774799046,216.63330138930672,0,0,0,0,1,1,0,3,0
24,2.21751,1,0,0,0,0,0,0,0,21.895090680024694,-28.8389129365007,0.828373,1.20904,3.28571,2.67864,2.48771,58.65541871396862,98.4661661281336,167.49963313051296,192.37595175554472,198.59459139275634,0,0,1,0,1,1,1,1,0
25,0.828373,1,0,0,0,0,0,0,0,21.89483028231675,-28.838437304272322,1.20904,2.21751,2.67864,1.20052,3.28571,44.35835924097705,58.65541871396862,196.46664377891287,201.92177720943124,204.32131774799046,0,0,1,0,0,2,0,2,0
26,1.20904,1,0,0,0,0,0,0,0,21.8949007308493,-28.838043182287738,0.828373,2.21751,2.67864,1.20052,3.28571,44.35835924097705,98.4661661281336,184.5598107785736,186.50502600347266,248.140947666579,0,0,0,0,1,2,0,2,0
27,3.60251,1,0,0,0,0,0,0,0,21.888824241546732,-28.837630212540468,1.19817,1.55663,2.83558,1.57893,4.27254,146.45098283884008,176.17471961613288,184.62462593543677,200.34195728151283,273.89838740909005,0,0,1,0,0,2,2,0,0
29,2.83558,1,0,0,0,0,0,0,0,21.890562442522658,-28.838292320801447,1.55663,4.27254,3.60251,0.890712,2.77701,99.90013031793374,176.15655766151397,184.62462593543677,188.65903480385893,222.2608075882133,0,0,0,1,0,4,0,0,0
30,2.22811,1,0,0,0,0,0,0,0,21.887755585375977,-28.841555135336748,0.662677,3.01826,0.59128,3.48715,4.27254,88.4156543180957,123.61162746983544,201.6288729553752,283.9598079516599,298.79687200019816,0,0,0,0,0,1,2,2,0
31,0.662677,1,0,0,0,0,0,0,0,21.88857311801343,-28.841209570386077,2.22811,3.01826,4.27254,0.59128,3.45035,88.4156543180957,198.10094283007368,214.25668488686154,256.11034416567975,297.12191272451156,0,0,0,0,0,1,2,1,1
33,4.37185,1,0,0,0,0,0,0,0,21.89132976358654,-28.842748539653098,3.45035,2.48277,2.58801,0.662677,0.704917,167.35606741150517,281.597281845386,289.7745512025293,318.3977042914331,319.0416759991053,0,0,0,0,0,0,0,5,0
34,3.45035,1,0,0,0,0,0,0,0,21.891622910521484,-28.841265537215413,2.77701,4.37185,0.704917,4.27254,2.48277,158.2516744392308,167.35606741150517,188.6720762413482,218.22217968461817,224.94573787099668,0,0,0,0,0,2,0,3,0
36,3.48715,1,0,0,0,0,0,0,0,21.884955074623022,-28.84084550837747,0.59128,2.46684,3.01826,2.10369,0.307578,115.26576151900241,154.36295533308964,160.3560602057679,167.0377597577425,244.41246877414034,0,0,0,0,0,1,2,2,0
37,2.46684,1,0,0,0,0,0,0,0,21.88351528002064,-28.840265420857396,1.04563,3.48715,1.97371,2.10369,5.01541,142.83532208526532,154.36295533308964,191.6842172364824,199.48425050964616,209.67089759623792,0,0,1,0,2,1,0,1,0
38,1.04563,1,0,0,0,0,0,0,0,21.88208676276924,-28.83997521133274,1.97371,1.26915,2.46684,1.63835,5.01541,140.92629368761916,140.96274239259748,142.83532208526532,166.60060169757477,252.03260126212496,0,0,2,0,1,0,0,2,0
39,1.97371,1,0,0,0,0,0,0,0,21.882535595852985,-28.838770357184853,1.63835,3.41559,1.04563,0.442342,5.01541,131.88149719447463,139.3909152741176,140.92629368761916,143.34683004526354,145.1546425208277,0,0,3,0,1,0,1,0,0
40,5.01541,1,0,0,0,0,0,0,0,21.883972009019292,-28.838422738131563,0.442342,1.97371,0.307578,1.78733,2.10369,128.92412700754753,145.1546425208277,147.6967778352245,159.10303424890253,166.35660465047508,0,0,0,1,1,1,1,1,0
41,3.01826,1,0,0,0,0,0,0,0,21.88653951925677,-28.841237171339547,0.59128,2.22811,3.48715,0.662677,2.10369,93.70489026098092,123.61162746983544,160.3560602057679,198.10094283007368,240.34323355808027,0,0,0,0,0,1,1,2,1
42,0.59128,1,0,0,0,0,0,0,0,21.886071220211914,-28.840501044522657,3.01826,3.48715,2.10369,2.22811,0.307578,93.70489026098092,115.26576151900241,146.6750046373139,201.6288729553752,209.88369448819026,0,0,0,0,0,1,1,2,1
46,1.19817,1,0,0,0,0,0,0,0,21.88751501142452,-28.836982650662513,1.57893,3.60251,1.07914,1.63154,1.78733,86.76125402509162,146.45098283884008,175.1352214800777,191.84227539938172,228.75122503823945,0,0,1,3,0,0,1,0,0
